Date,Open,High,Low,Close,Volume,Market Cap
"Oct 24, 2017",54.96,59.10,53.29,55.96,"199,789,000","2,940,790,000"
"Oct 23, 2017",56.77,56.77,52.87,54.92,"177,315,000","3,036,830,000"
"Oct 22, 2017",58.27,58.65,56.44,56.81,"96,781,400","3,116,350,000"
"Oct 21, 2017",60.30,60.52,56.83,58.20,"139,503,000","3,224,150,000"
"Oct 20, 2017",59.81,61.88,58.56,60.33,"150,542,000","3,196,870,000"
"Oct 19, 2017",60.82,61.29,58.71,59.74,"160,943,000","3,250,090,000"
"Oct 18, 2017",59.59,61.75,53.79,60.73,"283,869,000","3,183,230,000"
"Oct 17, 2017",64.67,64.70,58.85,59.48,"205,363,000","3,454,040,000"
"Oct 16, 2017",65.72,66.34,62.69,64.62,"200,428,000","3,508,860,000"
"Oct 15, 2017",64.13,70.09,62.55,65.47,"453,940,000","3,422,800,000"
"Oct 14, 2017",59.41,66.19,58.60,63.95,"313,106,000","3,169,870,000"
"Oct 13, 2017",60.55,60.96,55.84,59.43,"357,124,000","3,230,160,000"
"Oct 12, 2017",50.89,60.11,50.87,60.11,"341,369,000","2,713,870,000"
"Oct 11, 2017",50.75,51.14,50.32,50.89,"57,390,100","2,706,060,000"
"Oct 10, 2017",50.15,51.67,49.86,50.72,"90,415,500","2,673,460,000"
"Oct 09, 2017",53.08,53.39,48.47,50.16,"152,366,000","2,828,800,000"
"Oct 08, 2017",52.49,54.51,52.26,53.14,"100,841,000","2,796,640,000"
"Oct 07, 2017",52.14,52.75,51.64,52.58,"51,786,200","2,776,920,000"
"Oct 06, 2017",51.64,52.60,51.53,52.12,"59,355,900","2,749,460,000"
"Oct 05, 2017",51.40,51.87,50.44,51.67,"69,594,400","2,736,260,000"
"Oct 04, 2017",52.28,53.05,50.83,51.40,"77,473,400","2,782,460,000"
"Oct 03, 2017",53.39,53.59,51.59,52.35,"88,516,100","2,840,540,000"
"Oct 02, 2017",54.55,54.78,53.26,53.38,"95,474,600","2,901,270,000"
"Oct 01, 2017",55.14,55.16,53.63,54.54,"100,183,000","2,931,740,000"
"Sep 30, 2017",52.63,55.23,52.62,55.14,"131,446,000","2,797,460,000"
"Sep 29, 2017",54.11,54.16,50.42,52.62,"186,560,000","2,875,460,000"
"Sep 28, 2017",56.21,56.67,53.41,54.09,"202,009,000","2,986,370,000"
"Sep 27, 2017",51.58,56.54,51.58,56.28,"220,363,000","2,739,380,000"
"Sep 26, 2017",51.69,53.70,51.08,51.55,"173,663,000","2,744,540,000"
"Sep 25, 2017",47.62,52.44,47.57,51.58,"208,641,000","2,527,830,000"
"Sep 24, 2017",49.25,49.27,47.52,47.62,"82,147,100","2,613,620,000"
"Sep 23, 2017",48.16,49.79,46.69,49.27,"142,073,000","2,554,900,000"
"Sep 22, 2017",46.65,49.09,45.19,48.09,"218,134,000","2,474,380,000"
"Sep 21, 2017",51.66,52.31,45.67,46.61,"229,363,000","2,739,370,000"
"Sep 20, 2017",52.74,53.83,51.25,51.73,"160,252,000","2,795,880,000"
"Sep 19, 2017",55.68,55.88,51.05,52.84,"286,583,000","2,950,880,000"
"Sep 18, 2017",48.53,55.61,48.53,55.53,"408,675,000","2,571,070,000"
"Sep 17, 2017",48.23,49.88,45.12,48.49,"245,262,000","2,554,450,000"
"Sep 16, 2017",48.13,52.83,46.46,48.26,"562,278,000","2,548,580,000"
"Sep 15, 2017",41.69,50.65,32.03,48.21,"1,554,340,000","2,206,520,000"
"Sep 14, 2017",61.64,62.43,41.25,41.58,"749,714,000","3,261,960,000"
"Sep 13, 2017",64.32,64.60,58.93,61.73,"501,522,000","3,402,820,000"
"Sep 12, 2017",66.24,70.25,63.86,64.23,"481,218,000","3,503,300,000"
"Sep 11, 2017",61.65,67.23,61.37,66.04,"412,076,000","3,259,510,000"
"Sep 10, 2017",65.80,65.95,57.06,61.61,"529,848,000","3,478,400,000"
"Sep 09, 2017",67.21,69.55,64.01,66.01,"467,895,000","3,551,950,000"
"Sep 08, 2017",78.45,80.13,63.83,67.79,"930,673,000","4,144,630,000"
"Sep 07, 2017",79.88,81.06,75.59,78.48,"526,829,000","4,218,690,000"
"Sep 06, 2017",71.78,80.64,71.51,80.11,"830,718,000","3,789,670,000"
"Sep 05, 2017",65.25,72.44,59.05,71.29,"1,016,090,000","3,444,150,000"
"Sep 04, 2017",76.73,76.73,61.24,65.21,"922,041,000","4,049,140,000"
"Sep 03, 2017",78.98,82.83,73.61,76.84,"675,462,000","4,166,600,000"
